year,country_id,country,region,latitude,longitude,success,suicide,attack_type,target_type,gname,weapon_type,nperps,nkill,nkillus,nkillter,nwound
2014,4,Afghanistan,South Asia,34.565833,69.2125,1,0,Bombing/Explosion,Airports & Aircraft,Taliban,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,34.435863,70.442715,1,1,Bombing/Explosion,Government (General),Taliban,Explosives/Bombs/Dynamite,3,10,0,3,7
2014,4,Afghanistan,South Asia,34.862234,69.067851,0,0,Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,2
2014,4,Afghanistan,South Asia,35.118338,69.234113,1,0,Unknown,Police,Taliban,Unknown,-99,0,0,0,0
2014,4,Afghanistan,South Asia,34.435863,70.442715,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,6
2014,4,Afghanistan,South Asia,32.073333,64.833889,1,0,Armed Assault,Police,Taliban,Firearms,-99,7,0,0,0
2014,4,Afghanistan,South Asia,34.996698,68.859226,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,2,0,0,4
2014,4,Afghanistan,South Asia,33.332254,68.413404,1,0,Armed Assault,Police,Taliban,Firearms,300,1,0,0,2.66
2014,4,Afghanistan,South Asia,32.927129,66.141526,1,0,Armed Assault,Religious Figures/Institutions,Taliban,Firearms,-99,1,0,0,0
2014,4,Afghanistan,South Asia,32.927129,66.141526,1,0,Armed Assault,Religious Figures/Institutions,Taliban,Firearms,-99,1,0,0,0
2014,4,Afghanistan,South Asia,33.406374,68.295938,1,0,Armed Assault,Police,Taliban,Firearms,300,1,0,0,2.67
2014,4,Afghanistan,South Asia,33.678611,68.666667,1,0,Armed Assault,Police,Taliban,Firearms,-99,1,0,0,2.67
2014,4,Afghanistan,South Asia,36.193333,65.3525,1,0,Unknown,Police,Taliban,Unknown,-99,3,0,0,1
2014,95,Iraq,Middle East & North Africa,33.079193,44.253118,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,7
2014,95,Iraq,Middle East & North Africa,32.865709,44.212929,1,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,2,0,0,0
2014,95,Iraq,Middle East & North Africa,33.116563,44.598057,1,0,Armed Assault,Private Citizens & Property,Unknown,Firearms,-99,2,0,0,0
2014,95,Iraq,Middle East & North Africa,33.411739,44.432188,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,4,0,0,17
2014,95,Iraq,Middle East & North Africa,36.384009,43.160489,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,2
2014,153,Pakistan,South Asia,31.816656,70.916646,1,0,Armed Assault,Educational Institution,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,0
2014,153,Pakistan,South Asia,30.043544,69.923819,1,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,153,Pakistan,South Asia,30.9236,66.45116,0,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,160,Philippines,Southeast Asia,7.053765,124.672095,1,0,Bombing/Explosion,Business,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,160,Philippines,Southeast Asia,9.163372,117.825916,1,0,Armed Assault,Police,New People's Army (NPA),Firearms,-99,1,0,0,1
2014,160,Philippines,Southeast Asia,7.159587,124.214861,1,0,Bombing/Explosion,Military,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,-99,2,0,0,4
2014,160,Philippines,Southeast Asia,7.053765,124.672095,1,0,Bombing/Explosion,Business,Bangsamoro Islamic Freedom Movement (BIFM),Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,153,Pakistan,South Asia,24.86047,67.010047,1,0,Armed Assault,Military,Unknown,Firearms,-99,1,0,0,0
2014,4,Afghanistan,South Asia,37.523997,65.742987,1,0,Bombing/Explosion,Police,Taliban,Explosives/Bombs/Dynamite,-99,3,0,0,2
2014,205,Thailand,Southeast Asia,6.014857,101.951925,1,0,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,92,India,South Asia,22.585276,88.351217,1,0,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,92,India,South Asia,22.584584,88.351874,1,0,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,1
2014,6,Algeria,Middle East & North Africa,36.799377,5.767013,1,0,Unknown,Military,Unknown,Unknown,-99,1,0,0,20
2014,228,Yemen,Middle East & North Africa,14.75463,46.516262,1,0,Armed Assault,Military,Al-Qa`ida in the Arabian Peninsula (AQAP),Firearms,-99,1,0,1,0
2014,228,Yemen,Middle East & North Africa,13.062219,44.881389,1,0,Armed Assault,Government (General),Unknown,Firearms,2,1,0,0,0
2014,92,India,South Asia,22.65909,88.863432,1,0,Armed Assault,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,20
2014,4,Afghanistan,South Asia,32.484916,62.044878,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,2,0,0,0
2014,153,Pakistan,South Asia,32.986111,70.604167,1,0,Bombing/Explosion,Educational Institution,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,214,Ukraine,Eastern Europe,48.015883,37.80285,1,0,Hostage Taking (Kidnapping),Military,Donetsk People's Republic,Firearms,-99,0,0,0,0
2014,4,Afghanistan,South Asia,32.487222,69.198333,1,0,Unknown,Police,Taliban,Unknown,-99,6,0,6,4
2014,147,Nigeria,Sub-Saharan Africa,11.277037,9.882266,1,0,Bombing/Explosion,Military,Boko Haram,Explosives/Bombs/Dynamite,-99,3,0,0,3
2014,214,Ukraine,Eastern Europe,48.936389,24.154722,1,0,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,32.17421,66.997643,1,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,2,2,0,2,0
2014,205,Thailand,Southeast Asia,6.015119,101.951925,1,0,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,96,Ireland,Western Europe,53.33574,-6.973179,0,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,32.216944,67.567778,1,0,Unknown,Police,Unknown,Unknown,-99,7,0,7,3
2014,228,Yemen,Middle East & North Africa,15.186607,44.156904,1,0,Hijacking,Business,Tribesmen,Firearms,-99,0,0,0,0
2014,182,Somalia,Sub-Saharan Africa,3.116176,43.648365,0,1,Assassination,Private Citizens & Property,Al-Shabaab,Explosives/Bombs/Dynamite,1,20,0,1,20
2014,113,Libya,Middle East & North Africa,32.766637,22.633389,1,0,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,147,Nigeria,Sub-Saharan Africa,11.893611,14.094167,1,0,Armed Assault,Military,Boko Haram,Firearms,-99,10,0,0,
2014,41,Central African Republic,Sub-Saharan Africa,5.9048,15.527725,1,0,Assassination,Journalists & Media,Unknown,Firearms,-99,1,0,0,0
2014,95,Iraq,Middle East & North Africa,34.012969,44.147211,1,0,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite,-99,6,0,0,15
2014,95,Iraq,Middle East & North Africa,33.390066,44.460652,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,4,0,0,6
2014,95,Iraq,Middle East & North Africa,33.390066,44.460652,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,2,0,0,7
2014,95,Iraq,Middle East & North Africa,33.375523,44.423046,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,3,0,0,10
2014,95,Iraq,Middle East & North Africa,33.34557,44.488628,1,0,Bombing/Explosion,Police,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,3,0,0,7
2014,95,Iraq,Middle East & North Africa,33.426411,44.434701,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,5,0,0,11
2014,95,Iraq,Middle East & North Africa,33.29867,44.4232,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,2,0,0,8
2014,95,Iraq,Middle East & North Africa,33.32773,44.457138,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,3,0,0,14
2014,95,Iraq,Middle East & North Africa,33.25156,44.39194,1,0,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,3,0,0,0
2014,95,Iraq,Middle East & North Africa,33.664497,44.373436,1,0,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,4,0,0,10
